propertyId,address1,address2,city,states,zipcode,types,price
60eed585-0537-48e3-8fa4-14a7e9ddd284,56448 Mortimer Spring,Apt. 441,North Esteban,Michigan,55579-9006,Modular,25691889
57dfba64-d6b3-45e7-ad88-96fbd7f1ac56,682 Aufderhar Green,Apt. 415,Gastonville,Oregon,37819,Mobile or manufactured,15155840
f08e1a24-d67d-45dd-8a53-9f5dbc8be665,934 Jeffry Trafficway,Apt. 525,Toyborough,California,70611-4507,Leasehold,12627335
24561035-d6ad-4707-aaf6-0068b0f4e238,19156 Harry Expressway,Suite 435,Erdmanside,Washington,18164-1215,Townhouse,16642098
f5e43325-e6cb-4935-94ec-5c87af4ee50a,19456 Stoltenberg Overpass,Apt. 915,Mannfort,North Dakota,18087,Mobile or manufactured,793146
84ad6841-d09e-4a51-8248-4eacecdf6994,762 Savanah Mountain,Suite 986,Connport,New Jersey,09754,Single family home,12691907
90111f6a-b4ce-43e6-9510-6a52853aca24,93338 Andre River,Apt. 586,Alexannefurt,Nebraska,97038-5431,Leasehold,20316427
ed444f96-6bf7-4f61-ab67-3d739c22bb72,144 Hills Wall,Suite 443,Roobton,North Dakota,43300-1158,Condo - 4 or fewer stories,7678124
029f95b5-a698-401d-b954-4355630a2956,8709 Reichert Crest,Suite 991,Candidoport,Minnesota,05120,Townhouse,1233426
ea972a69-5431-4cad-88db-3f1538b0aa5f,280 Barrows Street,Suite 403,East Donavon,North Carolina,59634-8336,Single family home,3270748
0db9bdbe-57ac-476d-a08d-ef3793f5c257,72467 Skiles Tunnel,Apt. 077,West Gunnar,Texas,79125,Cooperative,3682824
a0c3e12c-3a76-493c-8971-1b844f19614d,600 Wisozk Mews,Apt. 004,Binsberg,Oregon,51849,Leasehold,21562533
2fe80581-3686-49b0-8eb8-0512dc0d7667,785 Abernathy Trail,Apt. 362,Lake Johnpaulville,North Dakota,71204-0360,Modular,15316182
5aed8be5-975c-4ec9-9db5-40e0ee443b45,542 Berge Garden,Apt. 381,New Gilbertfurt,New Hampshire,17185,Condo - 5+ stories,23093087
6c0c4295-1779-49f2-b058-180d16202341,3404 Kianna Vista,Suite 977,Goldnerhaven,California,06353-6248,Single family home,26211977
7eb1bd0e-8a3a-4bf7-8fa6-9156b0cdf997,2654 Karl Fords,Suite 020,Haileyfurt,New Jersey,59832,Townhouse,18411908
b9a44862-95c0-415e-8087-62f3c449816e,6843 Kuhlman Light,Apt. 977,Port Celine,Hawaii,31885,Condo - 5+ stories,11710289
9ca58898-8537-4261-b992-900d0e11f137,76880 Foster Flat,Apt. 317,Ardellatown,Hawaii,19437-9185,Leasehold,29467058
cf47bb23-2056-4f24-ae7e-85de19a3b64a,3969 Gorczany Trafficway,Apt. 042,Port Alvahtown,Nevada,16430,Townhouse,25329679
fc15fe4e-26b7-4fc2-a66c-fff6e21de015,3722 Pacocha Oval,Suite 587,Oberbrunnerport,Vermont,51635-6261,Condo - 5+ stories,27871839
29a06f8f-fb79-4497-aaf5-b1988482acd2,566 Will Spurs,Suite 660,Jeraldberg,Nevada,79165-5983,Single family home,29394373
a8d48582-1d2a-413d-89d7-bc1e878e88cd,17326 Altenwerth Union,Apt. 407,East Nicklaus,Tennessee,64094-8008,Modular,10047469
96265656-d702-4e3a-8b02-53323b52ec7f,8125 Wehner Drive,Apt. 812,Rebeccafort,Minnesota,65390-0245,Mobile or manufactured,7745506
74dfabaa-e6f7-456d-8a9e-8c02a440caa3,455 Turcotte Path,Apt. 706,Hudsonmouth,Alaska,05666,Condo - 5+ stories,12633378
1ff702fb-f879-424b-a965-e55f6eac1be7,648 Ora Groves,Suite 077,South Odaville,Alaska,62959-4684,Mobile or manufactured,28214536
d498e0a4-264f-4610-b478-3d765e26d698,389 Reichel Square,Suite 780,Columbustown,Vermont,27604,Cooperative,159285
ad9764c8-3a93-4404-9918-81cc1803e2d1,52188 June Plaza,Suite 230,Ullrichmouth,Illinois,51554-1649,Townhouse,28492152
42122ac7-11f7-414d-8e3c-4aebd2226556,023 Bradly Plaza,Suite 287,New Braxton,Utah,66589,Mobile or manufactured,16073717
450a9f79-d7a3-45d7-a0d3-1324cd014362,569 Koch Shores,Suite 784,Brennanfurt,Idaho,49504,Condo - 4 or fewer stories,16656006
e6085afb-6bb4-40b7-8d1a-60b5d8531227,07095 Bins Springs,Apt. 908,Tillmanfurt,Georgia,25022,Cooperative,15661374
b6bfaab6-cfe0-4146-8a7d-f59799fbe600,627 Miracle Village,Apt. 341,New Brookport,Ohio,76687,Modular,11928852
ab74d26c-ca2a-4551-8cb4-82a02892b9fb,4855 Witting Club,Apt. 879,Fadelport,Minnesota,78702,Townhouse,15966966
78645985-9dae-482d-b614-d6fc4bb84aef,83341 Zemlak Highway,Suite 429,West Alvahshire,Wisconsin,43297,Single family home,20812860
28017a26-4709-4202-b57d-6a71eb39b2f1,33755 Hayes Plains,Apt. 497,New Willardfurt,Idaho,35828,Condo - 5+ stories,21296111
b5ffd2b0-33b4-4887-9689-1d678f8f1efa,030 Barton Extensions,Apt. 104,Walshview,Ohio,11221-3547,Mobile or manufactured,29287072
3113508b-c669-49d7-9455-a66692026e95,30004 Nader Hollow,Suite 334,South Alizaside,Virginia,31302-6035,Cooperative,24998255
d518f233-fdcf-48c4-ab4c-244729f1e866,1012 Lebsack Crossroad,Apt. 292,West Rhea,Virginia,78912,Townhouse,5800949
0a0e0df9-1acd-4d05-9cb6-d42531373a7d,9077 Green Field,Suite 227,Brentside,Michigan,74855,Townhouse,18353147
92586525-83f8-4f04-a4e2-61cf5c8848c1,7699 Otho Springs,Suite 646,Gloriaside,North Carolina,77359-0958,Single family home,5522908
dbc58661-f0e9-49c8-9e86-5d0a76302101,08218 Alf Center,Apt. 827,North Ryley,Arkansas,59037-1721,Single family home,26970250
bb01f53d-1568-411f-90d0-14529238c535,417 Jazlyn Garden,Suite 494,Jedstad,Missouri,71611-2161,Townhouse,20206869
ba7b515d-9fce-497d-8b4e-da35d27eeeed,3848 Kuvalis Corner,Suite 196,North Griffinborough,Montana,80944-9288,Condo - 5+ stories,24686026
af202a00-5c57-467f-ab1b-81296bf56126,0132 Pat Ports,Suite 658,South Meganebury,Ohio,02349-9407,Condo - 4 or fewer stories,4195455
839b466a-d0e3-4b13-8315-544b53d20ffa,853 Powlowski Island,Apt. 571,Aryannahaven,Virginia,36644,Mobile or manufactured,27074366
3f08e8fd-6a00-4214-96fa-42ebb0677a77,4529 Rosie Street,Suite 797,Port Rigobertoport,Nebraska,25321-2846,Cooperative,29902315
edccc0ee-1b44-4e70-9198-7e72330b9fe1,9219 Ramona Oval,Suite 532,Luisburgh,Michigan,68570-8102,Leasehold,20943071
4a77da29-6593-48b2-9f58-4c6e3d456b91,5078 Layne Well,Apt. 143,Fritschland,New Hampshire,63261,Condo - 5+ stories,6472202
7b859491-e9c1-4510-9782-0895b760738f,6908 Thompson Unions,Suite 299,New Esperanzaland,New Hampshire,60134,Cooperative,1291415
b5ebc281-2a2a-4cf4-83e3-93f6bb86b531,5330 Walker Isle,Suite 415,Marvinburgh,Vermont,50810,Townhouse,4999266
ba8b787a-308d-46d8-85a6-519217e128f3,818 Vincenza Mission,Apt. 111,West Boland,South Dakota,60423-4858,Mobile or manufactured,1227487
5eff8974-8626-4f11-b57e-bd108d207b75,713 Edgardo Meadows,Apt. 659,Karianneland,Michigan,05309,Condo - 5+ stories,11712272
92eab3d4-7892-414b-959c-9411c489ecad,03873 Wuckert Burgs,Suite 496,Roselynberg,Minnesota,28903,Single family home,12028439
e7798a46-50f3-40c6-9d97-20824522d736,089 Daniel Via,Apt. 374,New Vicky,Pennsylvania,52359-3695,Townhouse,17935419
59610fbd-e32a-4556-9370-cc1790205261,1368 Christiansen Landing,Apt. 709,Kristofferside,Idaho,95325,Single family home,17753543
a8779c88-83d6-4376-b1b0-5b922970156b,028 Layla Estate,Suite 624,Rodriguezport,Kentucky,32553,Condo - 5+ stories,12193152
6b9e5fd2-634e-4956-8b66-ccb6b33db721,656 Larson Highway,Apt. 207,Wisozkbury,Louisiana,08353,Condo - 4 or fewer stories,4242264
72adb067-45e8-4724-b32b-0bf00b359b43,4553 Price Gardens,Suite 309,Gregoriashire,Wisconsin,39578-9518,Condo - 4 or fewer stories,28513755
0d7b5620-4b77-4e6b-8611-a5ad5fbaf025,9233 Tyrese Crescent,Suite 321,Lehnerland,Oregon,11703,Condo - 4 or fewer stories,2154846
74ed53c0-c494-42a6-91a8-7fbcb143b2cf,85365 King Oval,Suite 629,Annabellland,Montana,53320-2129,Leasehold,8169522
cbf2dbad-17cb-4d69-a892-b7e9e7256812,75792 Pfannerstill Flats,Suite 944,South Odaport,Colorado,38623,Leasehold,19120630
723cd5af-9044-4f97-ad04-6be1f55c7b66,7727 Beier Row,Suite 238,South Reymundochester,West Virginia,21824-6930,Townhouse,22237404
295a4b24-9dd7-462b-8e8c-55109f1e79bf,0919 Oberbrunner Row,Suite 332,Turcottefort,California,19674-7056,Modular,24628300
2debcbf7-9a19-4c42-b0f7-eca17fd4fa34,2193 Benton Way,Apt. 382,New Jane,Idaho,57868,Condo - 4 or fewer stories,22730646
c54716c7-becd-4e47-b129-ab770254f715,8454 Jeffery Grove,Apt. 932,South Makayla,Nebraska,11964-3932,Leasehold,2717036
afebdd40-611b-42d2-b1ff-7178a355b6e7,614 Vivienne Passage,Suite 710,Schroederview,Alaska,13214,Single family home,18313833
454113d6-5cc7-4777-ad81-4eb4246caa31,69415 Jarret Dam,Suite 678,Aimeetown,Virginia,28844,Townhouse,2214591
5cc65a76-6b52-47db-ad23-de8e9b67336f,020 Else Fork,Apt. 064,Lake Sven,Nevada,56100,Mobile or manufactured,606922
06489d75-66ae-4a2c-a091-6a901aa24280,88225 Lang Branch,Suite 440,Jacobsburgh,Indiana,79886,Single family home,26797588
77b0a564-9baa-4de8-bcfd-3b68b582c6f0,87162 Mosciski Village,Suite 598,Port Fannie,New Mexico,77410,Single family home,3855620
746969d4-5885-429f-886f-971007af8cfd,5200 Antwan Lakes,Suite 587,New Rosarioside,Wyoming,95044-7303,Condo - 5+ stories,22939941
b08ce01e-e76b-4031-b415-28ba050be4c8,650 Crooks Forges,Apt. 167,Erikbury,South Dakota,75164-7819,Townhouse,10296683
00cd013d-28d2-4c69-8c67-e84e97388f2f,032 Dwight Cliffs,Apt. 960,Marquardtborough,New Hampshire,41603,Condo - 5+ stories,8548375
2d6c4969-66db-4390-becd-b8b6d5bc9519,49044 Reese Spring,Apt. 894,Summerview,Arkansas,26705,Modular,18645791
a33af744-2590-4685-b92b-63b01d6ed64d,3064 Leonard Ranch,Apt. 468,Pourosmouth,Alabama,84400,Condo - 5+ stories,15421603
0d87f436-7d74-433a-b19e-24ecacf03308,7829 Heaney Station,Suite 302,Lockmanborough,Massachusetts,11049,Condo - 4 or fewer stories,11396123
e0c93294-fb4a-427e-b95d-84e53db00c92,587 Gutkowski Trail,Suite 678,Barrowshaven,Delaware,77442,Single family home,28515209
eb403411-65f9-4046-96f6-944d442df615,260 Bednar Ridges,Suite 419,East Staceymouth,Indiana,80623-3465,Single family home,25293697
490fe4b9-81d9-4ccf-bed7-350ffba4e50f,940 Champlin Park,Suite 824,New Modesto,Nevada,06865-5156,Mobile or manufactured,5993898
c3b98dc8-d6a4-44f4-bf7c-8f09749c1f5a,5164 Kole Park,Apt. 678,North Rachael,Connecticut,47439-2946,Mobile or manufactured,25752791
2f448560-1fe1-4d01-b33f-eb876b19a1ed,519 Brenda Fields,Apt. 997,Boganhaven,Georgia,11530,Condo - 5+ stories,8437708
294c89ea-07ec-4843-aa17-daa7c30ff45d,16670 Haag Coves,Apt. 471,New Guidoland,Vermont,09039,Condo - 5+ stories,27117640
f93ed0d1-74ce-4971-a708-cca348f32e33,1267 Tom Villages,Suite 274,Claudineshire,New Hampshire,69587-8916,Condo - 4 or fewer stories,27664886
35f4c6cd-f5db-4e87-9445-91f121e52261,1472 Jast Crossroad,Suite 991,South Austenfort,Kentucky,79713-3068,Townhouse,20015556
ebb80bff-d2ea-401f-a2e3-ed7ed3f10f1d,31383 Anita Manors,Apt. 210,Harmonchester,New York,21043-4964,Leasehold,12641574
b10bcb09-7bb7-45ad-9a5c-18c19e4b82d0,06322 Bins Unions,Suite 173,East Duane,Iowa,37176,Mobile or manufactured,3188754
ba16afd1-8dd1-4945-be60-ffb7a95bb24d,473 Davis Road,Suite 533,Ursulabury,Maine,90189,Single family home,10460680
366785b6-e173-4d3e-9790-1c667cf6247d,9986 Danika Union,Apt. 757,Pourosfort,Rhode Island,20040,Condo - 4 or fewer stories,8969803
1beac945-6fe1-4a3e-9227-6284ebe54f4c,50203 Ortiz Walk,Apt. 176,Port Conradberg,Arizona,31421-0728,Condo - 5+ stories,24283604
4975a468-40ab-4c2d-ab82-25e1d51f83c3,442 Henderson Tunnel,Apt. 050,Port Hiltonview,Georgia,91275,Condo - 5+ stories,16286316
f4b879fc-7a87-43f6-b538-5b16b5cd7da3,0306 Jakubowski Alley,Suite 077,Dickimouth,Wyoming,34347-3766,Cooperative,27945046
a43e5f1a-e3f0-40d2-ba70-7690ec407a71,8217 Jadyn Trail,Apt. 070,West Alexandrineland,Indiana,08677,Condo - 5+ stories,18047700
d579a87e-d222-443a-8efe-ef3db6746999,682 VonRueden Ranch,Apt. 074,Joannyland,Louisiana,71913-6252,Single family home,6914116
74baab29-da38-4136-a32f-7cae4d39e5d6,22764 Murphy Freeway,Suite 740,Heidenreichburgh,New Hampshire,66969,Condo - 4 or fewer stories,9791727
513cd4b3-1473-4b9f-8468-6cfbfe90f45f,2080 Waelchi Pines,Suite 651,Port Justusmouth,Wyoming,16309,Condo - 5+ stories,21442951
e09a88ea-0d78-471a-ac03-1bd3d5b237ca,801 Macejkovic Fort,Suite 454,New Marco,New Jersey,26704-0121,Modular,1896406
4ab22a63-07e7-4d6c-a80e-3d2cbbe0c3aa,62414 Pouros Ramp,Suite 530,East Arnaldoview,Utah,14529-1759,Mobile or manufactured,6911113
aeca5bc2-6260-49e1-ad54-4b7ac090ae5e,490 Crist Hollow,Suite 582,Delbertstad,New York,64923-0551,Mobile or manufactured,21746541
459cb5c5-7da3-40f3-b5af-6a6580538590,5809 Kylee Manors,Apt. 332,New Ezraland,Alaska,84402-9273,Townhouse,15605607
500f8071-38d1-4b52-a902-beb36b04870a,9411 Jones Meadows,Apt. 381,New Bustertown,Iowa,22735,Condo - 4 or fewer stories,11227422
9150f632-2a61-4dea-be9a-126c1be31b6d,5280 Tromp Ville,Apt. 914,Mohrchester,Texas,54129,Condo - 4 or fewer stories,28541929
8d334cce-c3e3-477d-841d-725bb5cd7c87,0688 Demetrius Park,Apt. 140,North Lula,Iowa,98283-6618,Single family home,20103509
9ea7c226-c424-4466-b7ca-4ed15377cac0,30168 Hamill Roads,Suite 707,Misaelville,Nevada,05632-6875,Leasehold,17150688
b6c1a538-3a83-4883-bc38-415b66f3e7fe,79563 Stamm Valleys,Suite 267,Orenbury,Massachusetts,66975-8115,Single family home,15572617
af40fb24-2db2-427b-84d6-ee9a83a42cb2,89703 Will Turnpike,Suite 378,East Kendrafort,Hawaii,83626-2397,Leasehold,5328449
76016c29-2506-403a-b5c7-6731af3fe066,2413 Borer Shores,Apt. 875,East Larry,Louisiana,91471,Condo - 4 or fewer stories,27336921
dc0381e7-3804-4601-a80c-12b3cac54cd5,8325 Sigrid Shoal,Apt. 274,Alberg,Connecticut,74917,Cooperative,1981092
0e63c2d1-0ca2-4da0-ac41-016d0a26319d,016 Santina Curve,Suite 079,East Ulisesland,New Hampshire,38266,Single family home,17590917
50a73ef6-2131-494d-90ed-96635f89e959,78122 Adolf Coves,Suite 647,Port Pedro,Maine,94159-3276,Condo - 5+ stories,22662064
2b0f94b6-9407-44bc-bc5f-c611f38d477b,1204 Gerson Walk,Apt. 964,Port Dusty,Missouri,62427,Cooperative,12977888
06aa1093-05c1-42ce-909f-f767009c539b,090 Hyatt Trace,Apt. 850,Keiraton,Rhode Island,90183-1770,Single family home,8547224
9cc696cd-f493-4865-9738-d4155de3ae07,547 Antonette Road,Suite 916,Kshlerinshire,North Dakota,26764-8033,Single family home,26383481
e2f52d66-f809-4aeb-9b91-5e8424558c2c,6646 Jaiden Bypass,Suite 799,Hauckton,Alabama,82843-6724,Condo - 4 or fewer stories,23382309
917d0ea8-3fda-4239-b665-7dffdf479d70,242 Nichole Landing,Apt. 791,Leonorstad,Florida,30025,Single family home,1057092
b0517030-2e5b-4cc5-b12a-16994b2639d2,558 Gerson Mall,Suite 242,Anabelleside,Virginia,43900-1962,Condo - 5+ stories,18995341
9b844907-7676-413b-aa56-ec1a8b4b3d0c,48275 Ricardo Highway,Suite 823,New Reilly,Virginia,53557,Leasehold,12418942
ba236d97-48ed-40aa-8e1f-ed8bd77f0489,5344 Friesen Alley,Suite 194,Eleonoremouth,Wisconsin,05600,Condo - 5+ stories,2079342
dfc123bc-951f-4725-b1f9-67550f110ed4,742 Rowe Burgs,Apt. 383,Cindyburgh,Oklahoma,78084,Leasehold,21204650
31d0e098-51c8-4907-b04d-3f1fdf67fb24,6200 Kohler Islands,Suite 312,Powlowskichester,Georgia,39972-9594,Leasehold,5657828
98026930-4cae-4982-a0e0-46989c92855c,78961 Trantow Junction,Suite 605,South Kiaraborough,Minnesota,73018,Condo - 4 or fewer stories,7556147
28efc9bd-adb2-4021-a1f4-a5257e6cdb9b,022 Nat Forge,Suite 823,South Jeniferville,Nevada,22609,Condo - 4 or fewer stories,4087714
c9728755-62e5-45c8-beda-f2b8a7268b5e,5967 Aufderhar Loop,Suite 114,North Helena,Maryland,80758-7877,Modular,17838937
793f9b17-e33f-4e44-af50-58223ea50dfa,24932 Blanche Locks,Apt. 410,Lake Charles,Vermont,40705-8350,Mobile or manufactured,20840906
18328278-ec2f-4c00-822e-ef28749225ff,607 Graciela Island,Apt. 253,New Justinaside,Nebraska,51318,Mobile or manufactured,11654114
66eb137b-2e72-491f-a530-ed0f3eb8eaf5,79580 Windler Stravenue,Suite 238,South Augustinefort,Arkansas,53953-5357,Single family home,29537932
bd69bf43-58aa-4c04-b086-cff459a90dbb,567 Cathryn Radial,Apt. 880,Bethanyfort,Indiana,02391-2615,Cooperative,21755810
ad444fe9-8e57-45a9-ade9-0a7822493f03,357 Lindsey Stream,Apt. 090,Tedburgh,Nevada,89979,Condo - 5+ stories,9152666
39bd1a09-81fb-49a5-ae3a-8f8ed513ebcf,0192 Roob Locks,Suite 915,Port Deion,Ohio,77192-7570,Townhouse,9469805
1aa18d80-5276-4b91-9a12-d8e824349533,7795 Alyce Well,Suite 896,North Maiyaville,Alabama,00985,Leasehold,13175728
6553e708-cdaa-4d1c-8242-a97460c4896d,429 Murazik Village,Apt. 903,North Noemieville,New Mexico,59955,Condo - 5+ stories,8121690
dbf25fdf-75bf-4afc-88a0-98bf40036e0d,87223 Bednar Dam,Suite 412,Gradymouth,Oregon,48697,Mobile or manufactured,13542207
a5d88943-ac78-4d68-a65d-e9c491d065b5,67636 Langworth Meadows,Suite 665,South Alaynaside,Arkansas,72929,Leasehold,7356779
1b68b6ea-22ca-4d18-b8f7-b81dc05fa180,2477 Amber Shoal,Apt. 719,North Henriside,Alaska,15377,Mobile or manufactured,25709795
441bd368-a340-4b88-b82a-c476ef2393ac,776 Krista Corner,Apt. 661,Torphychester,South Dakota,36032,Townhouse,12355288
f2368ec5-b3cf-4a8b-ba7c-c49f1d37c8c9,387 Michel Brook,Apt. 572,Port Mistyfort,Nevada,80827,Townhouse,340931
6aee6c53-b356-4395-90d5-9ba39122e63d,06473 Thompson Plain,Apt. 951,Westchester,New Hampshire,82930-3235,Leasehold,9167903
a0f5657a-4e2d-4cbb-a84b-8efdbab3f8c7,88583 Stokes Mountains,Apt. 965,Evietown,New Hampshire,21986,Condo - 4 or fewer stories,19164575
3c098826-467f-4c23-bc2b-026d7c266fac,9023 Jeff Extensions,Suite 020,Curtismouth,Alaska,41646,Single family home,17314309
7f24473a-462a-4d44-a60b-d674b1f33444,352 Adelia Ridges,Suite 478,South Trystanmouth,Oklahoma,43855,Condo - 4 or fewer stories,4008622
dfd00365-bb5f-46be-a5d8-4ed1d4f6c04f,8186 Jerome Mountains,Apt. 299,Lindseyburgh,Idaho,52113-8603,Mobile or manufactured,26051868
cdceef51-2243-4eae-87c3-b32ae81b3844,856 Van Ville,Suite 221,Goyetteburgh,Alaska,94959-8168,Single family home,12453451
f4c1df54-6a21-435b-9a05-1d9a2bb58c74,46349 Reilly Place,Apt. 338,New Rosalee,Delaware,11531-9000,Single family home,22135624
bf47daa6-19c7-47c8-b555-70392dad808f,972 Hand Isle,Suite 562,South Clevemouth,Indiana,25593-1440,Mobile or manufactured,27592832
a16f70c7-53f6-429b-8ba8-e1facb3469b6,721 Runolfsdottir Mews,Suite 073,South Ressiestad,Pennsylvania,60903-1704,Cooperative,20272502
5e426c18-518e-4d22-b499-85ba41feeff7,219 Lynch Streets,Apt. 274,South Benny,Louisiana,56464,Condo - 5+ stories,22223989
bb8f4f71-9b38-44c8-b2f6-2341a92033da,306 Huels Knolls,Apt. 426,East Zola,Wisconsin,03065-8721,Condo - 4 or fewer stories,16665726
09724036-9ca5-4afe-9f92-120c03f2e22e,627 Feeney Field,Suite 290,Daughertyhaven,Wisconsin,75133,Condo - 5+ stories,25702845
848a0101-cec4-42f2-857d-3bbb6582b9a7,382 Afton Lodge,Apt. 131,New Danaport,Ohio,90111-0654,Single family home,17465536
